"","team_number","event","match_number","mobility","end_of_auto_status","auto_hybrid_cubes","auto_mid_cubes","auto_high_cubes","auto_hybrid_cones","auto_mid_cones","auto_high_cones","teleop_hybrid_cubes","teleop_mid_cubes","teleop_high_cubes","teleop_hybrid_cones","teleop_mid_cones","teleop_high_cones","endgame_status","total_auto_points","total_teleop_points","total_endgame_points","won_match"
"25",2976,"wasno",13,TRUE,"Not Docked",0,0,0,1,0,0,0,1,0,0,0,1,"Docked",6,8,6,TRUE
"26",3681,"wasno",13,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",0,0,2,FALSE
"27",4512,"wasno",14,TRUE,"Not Docked",0,0,0,0,0,0,3,0,1,0,0,0,"Not Parked",3,11,0,FALSE
"28",2928,"wasno",14,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Engaged",3,0,10,FALSE
"29",3826,"wasno",15,TRUE,"Not Docked",0,0,0,0,0,0,1,0,0,1,0,0,"Engaged",3,4,10,FALSE
"30",2522,"wasno",14,TRUE,"Not Docked",0,0,0,0,0,0,0,0,1,0,1,2,"Engaged",3,18,10,TRUE
"31",3268,"wasno",16,FALSE,"Not Docked",0,0,0,0,0,0,1,0,0,0,0,0,"Not Parked",0,2,0,FALSE
"32",4915,"wasno",16,FALSE,"Not Docked",0,0,0,0,0,0,0,1,0,0,0,0,"Engaged",0,3,10,TRUE
"33",4173,"wasno",17,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",3,0,2,TRUE
"34",949,"wasno",17,TRUE,"Not Docked",0,0,0,0,1,0,0,0,0,1,1,0,"Parked",7,5,2,TRUE
"35",2980,"wasno",18,TRUE,"Not Docked",0,0,0,0,0,1,1,0,0,2,0,0,"Parked",9,6,2,FALSE
"36",7627,"wasno",18,TRUE,"Engaged",0,0,1,0,0,0,0,0,0,0,0,0,"Engaged",21,0,10,TRUE
"37",4911,"wasno",19,FALSE,"Engaged",0,0,0,0,0,0,0,0,0,3,0,0,"Engaged",12,6,10,TRUE
"38",4682,"wasno",19,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",0,0,2,FALSE
"39",1318,"wasno",20,FALSE,"Engaged",0,0,1,0,0,0,0,0,0,0,0,4,"Engaged",18,20,10,TRUE
"40",3826,"wasno",2,TRUE,"Not Docked",0,0,0,0,0,0,1,0,0,2,0,0,"Docked",3,6,6,FALSE
"41",2980,"wasno",3,FALSE,"Not Docked",0,0,0,0,0,0,2,0,1,0,0,0,"Not Parked",0,9,0,TRUE
"42",4681,"wasno",4,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,1,0,0,"Parked",3,2,2,FALSE
"43",3826,"wasno",7,TRUE,"Not Docked",0,0,0,0,0,0,4,0,0,1,0,0,"Parked",3,10,2,TRUE
"44",2097,"wasno",9,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",0,0,2,FALSE
"45",3681,"wasno",10,FALSE,"Not Docked",0,0,0,0,0,0,0,1,0,1,0,0,"Not Parked",0,5,0,FALSE
"46",8248,"wasno",21,TRUE,"Not Docked",0,0,0,0,0,0,1,0,0,0,0,0,"Engaged",3,2,10,TRUE
"47",2147,"wasno",22,FALSE,"Engaged",0,0,0,0,0,0,1,1,0,0,1,0,"Engaged",12,8,10,TRUE
"48",2910,"wasno",24,TRUE,"Not Docked",0,4,0,0,0,9,0,0,0,0,0,0,"Engaged",73,0,10,TRUE
"49",5941,"wasno",23,TRUE,"Not Docked",0,0,0,0,0,0,2,0,0,2,0,0,"Engaged",3,8,10,TRUE
"50",4980,"wasno",24,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,4,0,"Docked",3,12,6,FALSE
"51",2522,"wasno",25,TRUE,"Not Docked",1,0,0,1,0,0,0,1,1,1,2,0,"Engaged",9,16,10,FALSE
"52",5588,"wasno",26,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Not Parked",0,0,0,TRUE
"53",9036,"wasno",28,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",3,0,2,FALSE
"54",3268,"wasno",26,FALSE,"Not Docked",0,0,0,0,0,0,1,0,0,0,0,0,"Parked",0,2,2,FALSE
"55",4131,"wasno",29,TRUE,"Not Docked",0,0,0,0,0,1,0,0,1,1,0,2,"Docked",9,17,6,FALSE
"56",4682,"wasno",12,FALSE,"Not Docked",0,0,0,0,0,0,2,1,0,0,0,0,"Engaged",0,7,10,FALSE
"57",8248,"wasno",14,FALSE,"Not Docked",0,0,0,0,0,0,1,0,0,0,0,0,"Engaged",0,2,10,TRUE
"58",2903,"wasno",16,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Not Parked",0,0,0,TRUE
"59",4980,"wasno",18,TRUE,"Not Docked",0,0,0,0,1,0,0,0,0,0,0,0,"Not Parked",7,0,0,TRUE
"60",9036,"wasno",20,FALSE,"Not Docked",1,0,0,0,0,0,0,1,0,0,0,0,"Docked",3,3,6,FALSE
"61",4089,"wasno",22,FALSE,"Not Docked",0,0,0,1,0,0,1,0,0,0,0,0,"Parked",3,2,2,FALSE
"62",2903,"wasno",24,FALSE,"Not Docked",0,0,0,0,0,0,0,0,2,0,0,0,"Not Parked",0,10,0,TRUE
"63",2147,"wasno",26,TRUE,"Engaged",0,0,0,1,0,0,2,1,0,0,1,0,"Engaged",18,10,10,TRUE
"64",5941,"wasno",28,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,4,0,0,"Engaged",3,8,10,TRUE
"65",4915,"wasno",27,FALSE,"Engaged",0,0,0,1,0,0,2,0,1,0,0,0,"Engaged",15,9,10,TRUE
"66",4512,"wasno",25,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Not Parked",0,0,0,FALSE
"67",2097,"wasno",28,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Not Parked",0,0,0,FALSE
"68",9036,"wasno",30,TRUE,"Not Docked",0,0,0,0,0,0,1,1,0,0,0,0,"Engaged",3,5,10,TRUE
"69",8248,"wasno",31,FALSE,"Not Docked",0,0,0,1,0,0,0,0,0,0,0,0,"Not Parked",3,0,0,FALSE
"70",4911,"wasno",31,TRUE,"Engaged",0,0,0,0,0,0,1,0,0,3,0,0,"Engaged",15,8,10,TRUE
"71",3681,"wasno",32,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",0,0,2,FALSE
"72",5588,"wasno",32,TRUE,"Not Docked",0,0,0,0,0,0,0,1,2,0,0,0,"Engaged",3,13,10,TRUE
"73",1318,"wasno",32,TRUE,"Engaged",0,0,1,0,0,0,0,0,0,0,0,5,"Engaged",21,25,10,TRUE
"74",2910,"wasno",33,TRUE,"Not Docked",0,0,1,0,0,1,0,0,0,0,1,5,"Engaged",15,28,10,TRUE
"75",949,"wasno",33,TRUE,"Not Docked",0,0,0,0,0,0,1,0,0,1,0,0,"Not Parked",3,4,0,FALSE
"76",4681,"wasno",34,TRUE,"Not Docked",0,0,0,0,1,0,0,0,0,0,1,0,"Parked",7,3,2,FALSE
"77",2976,"wasno",34,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Engaged",3,0,10,TRUE
"78",1899,"wasno",35,TRUE,"Not Docked",0,0,0,0,0,0,0,0,2,0,0,0,"Engaged",3,10,10,FALSE
"79",488,"wasno",35,TRUE,"Not Docked",0,0,1,0,0,0,4,0,0,0,0,0,"Engaged",9,8,10,TRUE
"80",4131,"wasno",36,TRUE,"Not Docked",0,0,0,0,0,1,0,0,2,0,0,3,"Not Parked",9,25,0,TRUE
"81",3268,"wasno",35,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,1,0,0,"Engaged",0,2,10,TRUE
"82",9036,"wasno",37,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,2,0,"Parked",0,6,2,TRUE
"83",2930,"wasno",37,TRUE,"Not Docked",0,0,0,0,0,1,0,0,1,0,0,1,"Engaged",9,10,10,TRUE
"84",949,"wasno",38,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Engaged",3,0,10,FALSE
"85",3049,"wasno",38,TRUE,"Not Docked",0,0,0,0,0,1,0,1,0,0,0,0,"Parked",9,3,2,FALSE
"86",2910,"wasno",24,TRUE,"Engaged",0,0,1,0,0,1,0,1,0,0,4,3,"Docked",27,30,6,TRUE
"87",3049,"wasno",38,TRUE,"Not Docked",0,0,0,0,0,1,0,1,0,0,0,0,"Parked",9,3,2,FALSE
"88",4681,"wasno",39,TRUE,"Not Docked",0,0,0,1,0,0,1,0,0,1,0,0,"Parked",6,4,2,TRUE
"89",4911,"wasno",40,FALSE,"Docked",0,0,0,1,0,0,0,0,0,1,3,0,"Engaged",11,11,10,FALSE
"90",4911,"wasno",40,TRUE,"Not Docked",0,0,0,1,0,0,0,0,0,1,3,0,"Engaged",6,11,10,FALSE
"91",2910,"wasno",41,TRUE,"Engaged",0,0,1,0,0,0,0,0,0,0,2,5,"Engaged",21,31,10,TRUE
"92",5941,"wasno",41,TRUE,"Engaged",0,0,0,0,0,0,0,0,2,0,0,0,"Not Parked",15,10,0,FALSE
"93",2412,"wasno",42,TRUE,"Engaged",0,0,0,0,0,0,0,0,1,0,0,2,"Engaged",15,15,10,FALSE
"94",5941,"wasno",42,TRUE,"Engaged",0,0,0,0,0,0,3,0,0,0,0,0,"Parked",15,6,2,FALSE
"95",4173,"wasno",43,TRUE,"Not Docked",0,0,0,0,0,0,1,0,0,0,0,0,"Engaged",3,2,10,FALSE
"96",4512,"wasno",43,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",3,0,2,TRUE
"97",3268,"wasno",44,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Docked",0,0,6,FALSE
"98",2976,"wasno",44,FALSE,"Engaged",0,1,0,0,0,0,0,1,3,0,0,0,"Engaged",16,18,10,TRUE
"99",3681,"wasno",45,FALSE,"Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Engaged",8,0,10,FALSE
"100",4089,"wasno",46,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Engaged",3,0,10,FALSE
"101",2097,"wasno",45,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",0,0,2,FALSE
"102",4512,"wasno",47,TRUE,"Not Docked",0,0,0,0,0,0,1,0,0,1,0,0,"Docked",3,4,6,TRUE
"103",2930,"wasno",48,TRUE,"Engaged",0,0,0,0,0,1,0,0,0,0,0,5,"Parked",21,25,2,FALSE
"104",2903,"wasno",49,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Not Parked",0,0,0,FALSE
"105",2522,"wasno",30,TRUE,"Not Docked",0,0,0,1,0,0,0,1,1,0,1,0,"Engaged",6,11,10,TRUE
"106",6350,"wasno",50,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",0,0,2,FALSE
"107",8248,"wasno",51,FALSE,"Not Docked",0,0,0,0,0,0,2,0,0,0,0,0,"Docked",0,4,6,TRUE
"108",2976,"wasno",51,TRUE,"Not Docked",0,0,0,0,0,1,0,0,0,0,0,0,"Docked",9,0,6,TRUE
"109",4681,"wasno",51,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Engaged",0,0,10,FALSE
"110",3049,"wasno",52,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,1,"Not Parked",0,5,0,FALSE
"111",1899,"wasno",51,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Engaged",3,0,10,FALSE
"112",2522,"wasno",53,TRUE,"Engaged",0,0,0,0,0,0,1,1,0,0,1,2,"Engaged",15,18,10,FALSE
"113",4089,"wasno",53,TRUE,"Not Docked",0,0,0,0,0,0,3,2,0,0,0,0,"Engaged",3,12,10,FALSE
"114",4173,"wasno",34,TRUE,"Not Docked",1,0,0,0,0,0,2,1,0,1,0,0,"Engaged",6,9,10,TRUE
"115",6350,"wasno",36,FALSE,"Not Docked",0,0,0,0,0,0,3,0,0,0,0,0,"Engaged",0,6,10,FALSE
"116",5588,"wasno",37,TRUE,"Not Docked",0,0,0,0,0,0,0,0,1,0,0,0,"Engaged",3,5,10,FALSE
"117",3826,"wasno",40,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Not Parked",3,0,0,TRUE
"118",2980,"wasno",43,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",0,0,2,FALSE
"119",4911,"wasno",47,FALSE,"Not Docked",0,0,0,1,0,0,0,2,0,0,2,0,"Docked",3,12,6,TRUE
"120",2522,"wasno",49,TRUE,"Engaged",0,0,0,1,0,0,0,1,2,1,1,0,"Engaged",18,18,10,TRUE
"121",7627,"wasno",51,FALSE,"Engaged",0,0,1,0,0,0,0,0,1,0,0,2,"Parked",18,15,2,TRUE
"122",2928,"wasno",53,TRUE,"Not Docked",0,0,0,0,0,0,0,0,1,0,0,0,"Not Parked",3,5,0,TRUE
"123",8248,"wasno",54,TRUE,"Not Docked",0,0,0,0,0,0,2,0,1,0,0,0,"Parked",3,9,2,FALSE
"124",4173,"wasno",54,TRUE,"Not Docked",1,0,0,0,0,0,0,0,0,2,0,0,"Engaged",6,4,10,TRUE
"125",2930,"wasno",53,TRUE,"Engaged",0,0,0,0,0,1,0,0,0,0,0,4,"Engaged",21,20,10,TRUE
"126",5941,"wasno",1,TRUE,"Not Docked",0,0,0,0,0,0,1,0,0,1,0,0,"Parked",3,4,2,TRUE
"127",4131,"wasno",7,TRUE,"Not Docked",0,0,0,0,0,1,0,0,1,0,0,2,"Engaged",9,15,10,FALSE
"128",7627,"wasno",6,TRUE,"Engaged",0,0,1,0,0,0,0,0,0,0,0,0,"Parked",21,0,2,FALSE
"129",2903,"wasno",21,FALSE,"Not Docked",0,0,0,0,0,0,0,1,1,0,0,0,"Engaged",0,8,10,FALSE
"130",9036,"wasno",30,TRUE,"Not Docked",0,0,0,0,0,0,2,1,0,0,0,0,"Engaged",3,7,10,TRUE
"131",2928,"wasno",39,TRUE,"Engaged",0,0,1,0,0,0,0,0,0,0,0,0,"Engaged",21,0,10,FALSE
"132",2147,"wasno",44,TRUE,"Engaged",0,0,0,0,1,0,0,0,0,0,2,0,"Parked",19,6,2,FALSE
"133",1778,"wasno",48,FALSE,"Not Docked",0,0,0,0,0,0,3,0,0,0,0,0,"Not Parked",0,6,0,FALSE
"134",4131,"wasno",45,TRUE,"Not Docked",0,0,0,0,0,1,0,1,0,1,0,2,"Parked",9,15,2,TRUE
"135",2976,"wasno",18,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,3,0,0,"Parked",3,6,2,FALSE
"136",2980,"wasno",3,FALSE,"Not Docked",0,0,0,0,0,0,2,1,0,0,0,0,"Parked",0,7,2,TRUE
"137",4681,"wasno",139,TRUE,"Not Docked",0,0,0,0,1,0,1,0,0,1,0,0,"Engaged",7,4,10,FALSE
"138",2147,"wasno",148,TRUE,"Engaged",0,0,0,0,0,0,0,1,0,0,2,0,"Engaged",15,9,10,FALSE
"139",2928,"wasno",148,TRUE,"Not Docked",0,0,1,0,0,0,2,0,0,0,0,0,"Parked",9,4,2,FALSE
"140",2928,"wasno",139,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",0,0,2,FALSE
"141",488,"wasno",55,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,1,0,0,"Engaged",3,2,10,TRUE
"142",7627,"wasno",55,TRUE,"Engaged",0,0,1,0,0,0,0,0,0,0,0,3,"Not Parked",21,15,0,TRUE
"143",1778,"wasno",56,FALSE,"Not Docked",0,0,0,0,0,0,3,0,0,0,0,0,"Engaged",0,6,10,TRUE
"144",4980,"wasno",56,FALSE,"Not Docked",0,1,0,0,0,0,0,2,0,0,1,0,"Engaged",4,9,10,FALSE
"145",949,"wasno",55,TRUE,"Not Docked",0,0,0,0,1,0,0,0,0,0,0,0,"Engaged",7,0,10,TRUE
"146",2930,"wasno",148,TRUE,"Engaged",0,0,0,0,0,0,1,0,0,1,0,1,"Parked",15,9,2,FALSE
"147",9036,"wasno",57,TRUE,"Not Docked",1,0,0,0,0,0,0,0,0,0,1,1,"Parked",6,8,2,TRUE
"148",4682,"wasno",56,FALSE,"Not Docked",0,1,0,0,0,0,0,0,1,0,0,2,"Engaged",4,15,10,FALSE
"149",3049,"wasno",57,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,2,0,"Parked",0,6,2,FALSE
"150",2412,"wasno",139,TRUE,"Not Docked",0,1,0,0,0,0,0,1,2,0,0,2,"Parked",7,23,2,FALSE
"151",6350,"wasno",55,FALSE,"Not Docked",0,0,0,0,0,0,1,0,0,1,0,0,"Engaged",0,4,10,FALSE
"152",2147,"wasno",57,TRUE,"Engaged",0,0,0,1,0,0,1,1,0,0,3,0,"Engaged",18,14,10,FALSE
"153",2928,"wasno",58,TRUE,"Engaged",0,0,1,0,0,0,0,1,1,0,0,0,"Docked",21,8,6,FALSE
"154",2910,"wasno",59,TRUE,"Engaged",1,1,0,0,0,0,0,0,1,1,0,6,"Not Parked",22,37,0,TRUE
"155",3681,"wasno",61,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,1,"Docked",0,5,6,TRUE
"156",2980,"wasno",57,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Engaged",0,0,10,TRUE
"157",1899,"wasno",30,FALSE,"Not Docked",0,0,0,0,0,0,0,1,1,0,0,0,"Engaged",0,8,10,FALSE
"158",8302,"waahs",48,TRUE,"Not Docked",1,0,0,0,0,0,2,0,0,0,0,0,"Engaged",6,4,10,TRUE
"159",6076,"waahs",48,TRUE,"Not Docked",0,0,0,0,0,0,3,0,0,0,0,0,"Engaged",3,6,10,FALSE
"160",3588,"waahs",47,TRUE,"Not Docked",1,0,0,0,0,0,0,0,0,1,1,1,"Engaged",6,10,10,TRUE
"161",4918,"waahs",47,TRUE,"Not Docked",0,1,0,0,0,0,0,0,1,2,0,0,"Engaged",7,9,10,FALSE
"162",8896,"waahs",45,TRUE,"Not Docked",0,0,0,0,0,0,1,0,0,0,0,0,"Engaged",3,2,10,TRUE
"163",5683,"waahs",46,FALSE,"Not Docked",0,0,0,0,0,0,0,1,0,0,0,0,"Engaged",0,3,10,TRUE
"164",2906,"waahs",46,FALSE,"Not Docked",0,0,0,0,0,0,3,0,0,0,0,0,"Engaged",0,6,10,FALSE
"165",5295,"waahs",45,FALSE,"Not Docked",0,0,1,0,0,0,0,0,0,1,1,2,"Engaged",6,15,10,TRUE
"166",8302,"waahs",44,TRUE,"Not Docked",1,0,0,0,0,0,2,0,0,0,0,0,"Engaged",6,4,10,FALSE
"167",4915,"waahs",43,FALSE,"Not Docked",0,0,0,0,0,0,0,1,1,0,1,0,"Engaged",0,11,10,TRUE
"168",3070,"waahs",43,FALSE,"Engaged",0,0,0,0,0,1,0,0,2,0,0,1,"Engaged",18,15,10,FALSE
"169",4918,"waahs",31,TRUE,"Not Docked",1,0,0,0,0,0,0,0,0,0,2,0,"Engaged",6,6,10,FALSE
"170",2929,"waahs",41,FALSE,"Not Docked",1,0,0,0,0,0,0,0,0,0,0,0,"Engaged",3,0,10,FALSE
"171",4131,"waahs",39,TRUE,"Not Docked",1,0,1,0,0,0,1,0,1,0,0,2,"Engaged",12,17,10,FALSE
"172",2557,"waahs",37,FALSE,"Not Docked",0,0,0,0,0,1,0,0,0,0,0,0,"Parked",6,0,2,TRUE
"173",3070,"waahs",34,FALSE,"Not Docked",0,0,0,1,0,0,0,1,1,0,0,2,"Engaged",3,18,10,TRUE
"174",8386,"waahs",33,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Engaged",3,0,10,FALSE
"175",4915,"waahs",31,FALSE,"Engaged",0,0,1,0,0,0,1,0,0,0,4,0,"Parked",18,14,2,FALSE
"176",3588,"waahs",35,TRUE,"Not Docked",0,0,0,0,0,0,0,1,0,1,1,1,"Engaged",3,13,10,FALSE
"177",2046,"waahs",34,TRUE,"Not Docked",0,0,0,0,0,1,0,0,1,2,2,3,"Engaged",9,30,10,TRUE
"178",2906,"waahs",32,FALSE,"Not Docked",1,0,0,0,0,0,0,0,0,0,0,0,"Parked",3,0,2,FALSE
"179",8303,"waahs",35,TRUE,"Not Docked",1,0,0,0,0,0,0,0,0,0,0,0,"Parked",6,0,2,TRUE
"180",2557,"waahs",33,FALSE,"Not Docked",0,0,0,1,0,0,0,0,1,0,0,0,"Not Parked",3,5,0,TRUE
"181",3786,"waahs",26,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Engaged",3,0,10,FALSE
"182",3219,"waahs",28,TRUE,"Engaged",0,1,0,0,0,0,0,0,0,1,0,0,"Not Parked",19,2,0,TRUE
"183",7627,"waahs",24,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,3,"Parked",3,15,2,TRUE
"184",2906,"waahs",23,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Not Parked",0,0,0,TRUE
"185",2907,"waahs",21,TRUE,"Not Docked",0,0,0,0,0,0,1,0,0,0,0,0,"Engaged",3,2,10,FALSE
"186",3070,"waahs",20,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,1,2,0,"Engaged",0,8,10,FALSE
"187",8896,"waahs",17,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Parked",3,0,2,FALSE
"188",3393,"waahs",32,TRUE,"Not Docked",1,0,0,0,0,0,0,0,0,0,0,0,"Engaged",6,0,10,TRUE
"189",8032,"waahs",30,TRUE,"Not Docked",0,0,0,0,0,0,0,0,0,0,3,0,"Not Parked",3,9,0,FALSE
"190",8896,"waahs",28,TRUE,"Not Docked",0,0,0,0,0,0,1,0,0,0,0,0,"Docked",3,2,6,FALSE
"191",2980,"waahs",25,FALSE,"Not Docked",0,1,0,0,0,0,0,0,0,1,2,0,"Engaged",4,8,10,FALSE
"192",3393,"waahs",23,TRUE,"Not Docked",0,0,0,0,0,0,3,0,0,0,0,0,"Engaged",3,6,10,FALSE
"193",4180,"waahs",30,FALSE,"Not Docked",0,0,0,0,0,0,2,0,0,0,0,0,"Parked",0,4,2,TRUE
"194",2907,"waahs",30,TRUE,"Engaged",0,0,0,0,0,0,2,0,0,0,0,0,"Engaged",15,4,10,FALSE
"195",3588,"waahs",29,TRUE,"Not Docked",0,0,0,0,0,0,1,0,3,0,1,0,"Docked",3,20,6,FALSE
"196",8302,"waahs",29,TRUE,"Not Docked",0,0,0,0,0,0,1,0,0,0,0,0,"Engaged",3,2,10,TRUE
"197",4131,"waahs",28,TRUE,"Not Docked",0,1,1,0,0,0,0,0,0,0,0,4,"Engaged",13,20,10,TRUE
"198",4469,"waahs",28,TRUE,"Engaged",0,0,1,0,0,0,0,0,0,0,0,3,"Docked",21,15,6,FALSE
"199",2046,"waahs",27,TRUE,"Engaged",0,0,1,0,0,1,1,0,2,0,1,5,"Engaged",27,40,10,TRUE
"200",4579,"waahs",27,TRUE,"Not Docked",0,0,0,0,0,0,2,0,0,0,0,0,"Docked",3,4,6,FALSE
"201",8302,"waahs",26,TRUE,"Not Docked",0,0,0,0,0,0,1,2,0,0,0,0,"Engaged",3,8,10,TRUE
"202",3588,"waahs",26,TRUE,"Not Docked",0,0,0,1,0,0,0,0,0,1,2,0,"Engaged",6,8,10,TRUE
"203",3268,"waahs",25,FALSE,"Not Docked",0,0,0,0,0,0,0,0,0,0,0,0,"Engaged",0,0,10,TRUE
"204",4131,"waahs",24,FALSE,"Docked",0,1,0,0,0,1,0,0,1,0,1,3,"Parked",18,23,2,FALSE
"205",8386,"waahs",24,FALSE,"Not Docked",0,0,0,0,0,0,1,0,0,0,0,0,"Docked",0,2,6,TRUE
"206",5295,"waahs",24,FALSE,"Not Docked",0,0,1,0,0,0,0,0,0,0,0,0,"Not Parked",6,0,0,FALSE
"207",2046,"waahs",23,TRUE,"Not Docked",0,0,1,0,0,1,0,1,1,1,1,2,"Engaged",15,23,10,TRUE
"208",3663,"waahs",23,FALSE,"Engaged",0,0,1,0,0,0,3,0,0,0,1,3,"Engaged",18,24,10,TRUE
